r_value,g_value,b_value,nir_reflectance,soil_brightness,ec_value,moisture_percent,pH_level,estimated_nitrogen,estimated_phosphorus,estimated_potassium
183,155,60,0.67,0.79,1.18,47.37,7.49,63.55,43.39,24.4
103,172,69,0.55,0.49,0.64,11.83,6,60.26,42,8.78
155,121,136,0.45,0.36,2.66,22.62,5.91,38.59,25.91,50.37
53,111,67,0.51,0.38,2.53,45.67,5.91,55.19,17.15,54.19
103,71,150,0.75,0.72,3,54.76,7.54,34.52,31.33,53.1
195,98,100,0.31,0.64,2.99,35.58,7.16,34.35,25.82,47.8
93,189,87,0.37,0.36,1.89,36.61,6.81,63.36,39.89,38.03
63,190,43,0.33,0.35,2.42,15.36,6.4,64.39,32.97,36.61
144,172,74,0.32,0.69,2.86,32.37,7.69,54.9,43.6,52.54
97,160,88,0.81,0.34,2.62,36.63,6.48,61.29,26.8,47.64
64,172,56,0.72,0.75,1.12,22.12,7.54,61.19,51.79,13.65
89,140,85,0.58,0.69,1.63,23.46,6.6,53.24,50.79,36.88
131,172,156,0.36,0.34,0.82,28.86,6.44,55.96,40.12,27.05
160,61,45,0.59,0.35,2.89,11,6.66,26.22,12.85,42.49
102,189,138,0.58,0.84,2.02,26.1,6.25,68.33,50.09,33.58
73,113,163,0.4,0.51,1.07,20.57,7.37,38.89,32.41,21.59
173,146,76,0.56,0.5,2.18,26.37,6.76,62,40.38,39.65
90,188,63,0.54,0.75,2.05,15.99,6.08,53.11,47.34,37.24
64,206,132,0.67,0.82,1.4,54.53,7.75,78.16,66.05,41.96
94,185,85,0.68,0.84,0.78,39.68,6.46,75.25,61.13,18.75
114,189,134,0.33,0.71,2.18,43.96,6.86,52.21,45.95,37.5
138,112,138,0.52,0.51,1.8,49.46,7.77,39.75,31.23,30
120,219,155,0.68,0.35,2.43,34.92,7.06,76.32,46.04,39.78
58,219,106,0.6,0.73,1.8,14.35,5.79,69.24,59.19,29.7
137,127,167,0.81,0.61,2.63,36.86,7.85,47.71,24.27,55.79
178,182,57,0.7,0.53,1.88,39.34,7.07,61.91,39.99,33.48
185,204,64,0.4,0.8,1.9,47.27,6.34,77.64,54.31,39.07
112,97,93,0.34,0.36,2.69,31.58,5.85,39.28,16.45,46.58
188,83,97,0.69,0.57,1.51,16.38,7.49,43.08,28.63,31.87
130,128,106,0.32,0.31,0.84,24.19,7.05,47.31,31.41,30.07
185,175,143,0.65,0.56,0.57,28.15,6.83,59.19,43.61,11.53
82,157,63,0.86,0.33,2.39,42.3,7.73,59.22,30.87,41.86
172,198,153,0.65,0.37,2.05,38.54,7.47,72.91,42.89,43.68
54,203,71,0.53,0.36,2.26,27.8,5.88,64.15,42.34,42.87
90,156,125,0.69,0.66,1.03,59.33,6.28,63.72,50.17,36.55
77,183,166,0.57,0.71,0.84,40.29,6.12,64.34,57.04,23.58
184,129,169,0.63,0.62,0.54,21.86,7.36,47.71,43.54,10.68
121,152,56,0.86,0.83,1.38,15.09,5.58,64.51,48.12,26.67
61,62,143,0.53,0.51,1.97,17.64,6.92,30.58,11.21,38.62
82,207,176,0.88,0.46,1.48,22.3,7.41,76.08,49.52,30.76
97,206,82,0.84,0.78,1.59,18.03,7.69,82.02,57.48,29.99
111,149,78,0.42,0.42,2.76,19.33,6.36,47.41,29.69,50.6
86,206,65,0.34,0.83,1.37,24.25,7.55,69.58,54.14,31.25
148,207,138,0.36,0.31,1.78,18.67,5.78,70.83,37.48,37.34
153,155,89,0.31,0.83,2.46,54.84,7.62,48.91,47.81,51.11
